category,priority,question,answer
Ordering,5,What do I need to order to build a complete preamp?,You'll need a chassis and at least one preamp module.
Ordering,10,Do the kits include all parts?,"Our kits are complete down to the last screw, but you'll need to supply tools and solder. Please see the Bill of Materials for each kit to see exactly what is included. Please see our assembly tips page for suggestions on tools and supplies."
Ordering,15,What else do I need to buy?,"If you don't own them already, you'll need a good soldering iron, digital multimeter (DMM), electronics solder, and a few hand tools.  Please see the kit assembly instructions for a list of required tools and the assembly tips page for suggestions on tools and supplies."
Ordering,20,Is there a discount for multiple modules?,"No, but if you order a chassis and at least one module at the same time, the shopping cart calculates a substantial package discount."
Ordering,25,Are there any discounts available?,Order the combinations below for substantial package discounts.
Ordering,30,Can I mix and match modules within a single CH02?,"Yes, you can load up to eight (8) modules in any combination in a single CH02."
Ordering,35,"If I order all assembled modules, will I get an assembled preamp?","No, you'll still need to install the modules, power switch, and LED assembly, attach the wiring harness, and button everything up. Assembling the CH02 does not require soldering or crimping, just some hand tools and a bit of patience. Assembling the OneShot may require soldering and modifying module circuitry to take advantage of all features. Please see the chassis assembly instructions for details."
Ordering,40,How do I order an assembled preamp?,Order the assembled version of each module (KA) and add an installation charge for each.
Ordering,45,The A12 and B16 come with a choice of output transformers. What's the difference?,"Transformers affect audio signals in complex ways that depend on the amplitude and frequency of the signal along with the source and load connected to the transformer. The effect is subtle and there's no substitute for hearing it in person, but a brief description might be"
Ordering,50,Do I need to order an op-amp with each module?,"No, only the A12 and J99 need op-amps that must be ordered separately. Note that the J99 needs two op-amps per module. Note also that the ""B"" versions of the A12 and J99 already include the op-amp circuitry. Please see the product pages for more details."
Ordering,55,Can I order the PS03 as a kit?,"No. Due to the complexity of the circuit and the high voltages present around the regulator, the PS03 is only available as an assembled and tested module."
Ordering,60,"I only want to order a _____, not a whole kit. How much is that?","Sorry, we don't split kits or sell individual components."
Ordering,65,How much does _____ cost?,"Please use the shopping cart for price quotes. Simply enter the quantity of each item and click ""add"". The cart doesn't save any information and won't ask you for payment information until you click ""Checkout""."
